SensorA = target
SensorB = available
{bandsB; cwlsB; beta_hat} = bands, centre wavelengths, and coefficients in comma-delimited form
*) band numbers start counting at zero
**) centre wavelengths are expressed in nm
***) first coefficient listed is the constant

sensorA;bandA;cwlA;sensorB;{bandsB};{cwlsB};{beta_hat};AIC;var_y_given_X

terra;0;646.295673296;aqua;2,3,0,1,4,5;466.07150204,553.917076647,645.8403499,856.877853417,1241.49758039,1628.08776832;4.83790750064e-05,0.00132406221623,-0.00394185260641,1.00253351839,6.83731735532e-05,-0.00044674656989,0.000419406971883;-2150.53994619;2.28968776172e-09
terra;0;646.295673296;meris;0,1,2,3,4,5,6,7,8,9,10,11;412.433615778,442.302283223,489.626577523,509.564329959,559.440262161,619.349162711,664.322430724,680.571670334,708.080139841,753.123045597,760.007913967,778.160657513;0.000273812800292,-0.0079949547302,0.0206358090983,-0.0504517912789,0.0454183102052,-0.0276442497152,0.357516520619,0.960223289131,-0.330280926459,0.0346510823477,-0.0251408441062,0.0308914659863,-0.00993996905383;-1762.34109967;4.64328058401e-08
terra;0;646.295673296;sentinel2;0,1,2,3,4,5,6,7,8,9,10;443.929444843,496.541069687,560.006374949,664.4491622,703.886978943,740.223452517,782.473511978,835.110186795,864.80125832,945.027529483,1373.46188255;-0.000428621286425,0.144807668655,-0.208688751891,0.184994480136,0.825015287787,0.10143476032,-0.0600426281679,0.326188124801,-0.734554297919,0.429933220548,0.018294942014,-0.0147516783604;-1301.22798315;1.88731632277e-06
terra;0;646.295673296;vgt;0,1,2;459.52,662.04,834.709418838;-0.00204652372231,0.0414893176641,0.992533408391,-0.0245584407435;-1246.76798945;3.3162540063e-06
terra;1;856.47984028;aqua;2,3,0,1,4,5,6;466.07150204,553.917076647,645.8403499,856.877853417,1241.49758039,1628.08776832,2113.99922695;-1.06659765856e-05,-0.000634015060811,0.000980730698158,3.92565724703e-05,1.00027599852,-0.000511860441628,-0.000597859738708,0.000566998531494;-2276.72986188;8.21105344059e-10
terra;1;856.47984028;meris;0,1,2,3,4,5,6,7,8,9,10,11,12,13,14;412.433615778,442.302283223,489.626577523,509.564329959,559.440262161,619.349162711,664.322430724,680.571670334,708.080139841,753.123045597,760.007913967,778.160657513,864.627349057,884.697163697,899.753104609;7.35196469127e-05,-0.0064007449937,0.00492252473756,0.00407292276375,-0.0051531355458,0.00395096924866,-0.024431921384,0.0841343330921,-0.0651735517683,0.00562077632502,-0.0218329231887,0.0177287386116,0.0573628817078,1.16819246038,-0.301774203298,0.0777307703787;-1942.49715806;1.04725522672e-08
terra;1;856.47984028;sentinel2;0,1,2,3,4,5,6,7,8,9,10,11,12;443.929444843,496.541069687,560.006374949,664.4491622,703.886978943,740.223452517,782.473511978,835.110186795,864.80125832,945.027529483,1373.46188255,1613.65940666,2202.36668717;-7.02480077993e-05,0.00552655216082,-0.00476662143856,-0.00393840036848,-0.00104108760662,0.00781405887121,-0.00491467548695,0.0249314243792,0.200981399161,0.772102153292,0.0058779416282,-0.000245584362118,-0.0006492979231,-0.00172592512594;-1885.78329014;1.70213545893e-08
terra;1;856.47984028;vgt;0,1,2,3;459.52,662.04,834.709418838,1649.64071856;0.00108607594678,-0.0260155393898,-0.0213507827529,1.00671138975,0.0256924104867;-1174.96267144;5.79663964815e-06
terra;2;465.742398799;aqua;2,3,0,1,4,5,6;466.07150204,553.917076647,645.8403499,856.877853417,1241.49758039,1628.08776832,2113.99922695;-2.39053242714e-05,1.00017663467,-0.00058519867378,-0.000448415906035,8.06141191091e-05,0.000232462734106,-0.000457283107566,0.00047292327102;-2207.09463136;1.43329785052e-09
